#YYYY MM DD HH MM P(mm) PET(mm)
2016 10 13 21 00 0.0 0.0
2016 10 13 22 00 0.0 0.0
2016 10 13 23 00 0.0 0.0
2016 10 14 00 00 0.0 0.0
2016 10 14 01 00 0.0 0.0
2016 10 14 02 00 0.0 0.0
2016 10 14 03 00 0.0 0.0
2016 10 14 04 00 0.0 0.0
2016 10 14 05 00 0.0 0.0
2016 10 14 06 00 0.0 0.0144
2016 10 14 07 00 0.0 0.234
2016 10 14 08 00 0.0 0.7092
2016 10 14 09 00 0.0 1.2504000000000002
2016 10 14 10 00 0.0 2.4504
2016 10 14 11 00 0.0 6.277200000000001
2016 10 14 12 00 0.0 8.568
2016 10 14 13 00 0.0 7.3692
2016 10 14 14 00 0.0 6.902400000000001
2016 10 14 15 00 0.0 4.7796
2016 10 14 16 00 0.0 2.712
2016 10 14 17 00 0.0 0.4992
2016 10 14 18 00 0.0 0.0024000000000000002
2016 10 14 19 00 0.0 0.0
2016 10 14 20 00 0.0 0.0
2016 10 14 21 00 0.0 0.0
2016 10 14 22 00 0.0 0.0
2016 10 14 23 00 0.0 0.0
2016 10 15 00 00 0.0 0.0
2016 10 15 01 00 0.0 0.0
2016 10 15 02 00 0.0 0.0
2016 10 15 03 00 0.0 0.0
2016 10 15 04 00 0.0 0.0
2016 10 15 05 00 0.0 0.0
2016 10 15 06 00 0.0 0.016800000000000002
2016 10 15 07 00 0.0 0.5796000000000001
2016 10 15 08 00 0.0 1.5288000000000002
2016 10 15 09 00 0.0 2.1096000000000004
2016 10 15 10 00 0.0 6.2388
2016 10 15 11 00 0.0 9.086400000000001
2016 10 15 12 00 0.0 9.6912
2016 10 15 13 00 0.0 9.442800000000002
2016 10 15 14 00 0.0 8.223600000000001
2016 10 15 15 00 0.0 6.1812000000000005
2016 10 15 16 00 0.0 3.5688
2016 10 15 17 00 0.0 0.8676
2016 10 15 18 00 0.0 0.0072
2016 10 15 19 00 0.0 0.0
2016 10 15 20 00 0.0 0.0
2016 10 15 21 00 0.0 0.0
2016 10 15 22 00 0.0 0.0
2016 10 15 23 00 0.0 0.0
2016 10 16 00 00 0.0 0.0
2016 10 16 01 00 0.0 0.0
2016 10 16 02 00 0.0 0.0
2016 10 16 03 00 0.0 0.0
2016 10 16 04 00 0.0 0.0
2016 10 16 05 00 0.0 0.0
2016 10 16 06 00 0.0 0.0108
2016 10 16 07 00 0.0 0.24480000000000002
2016 10 16 08 00 0.0 0.7584000000000001
2016 10 16 09 00 0.0 1.1676
2016 10 16 10 00 0.0 3.9708000000000006
2016 10 16 11 00 0.0 8.2056
2016 10 16 12 00 0.0 9.4404
2016 10 16 13 00 0.0 8.2248
2016 10 16 14 00 0.0 8.1108
2016 10 16 15 00 0.0 6.5832
2016 10 16 16 00 0.0 3.7788000000000004
2016 10 16 17 00 0.0 0.5376000000000001
2016 10 16 18 00 0.0 0.0048000000000000004
2016 10 16 19 00 0.0 0.0
2016 10 16 20 00 0.0 0.0
2016 10 16 21 00 0.0 0.0
2016 10 16 22 00 0.0 0.0
2016 10 16 23 00 0.0 0.0
2016 10 17 00 00 0.0 0.0
2016 10 17 01 00 0.0 0.0
2016 10 17 02 00 0.0 0.0
2016 10 17 03 00 0.0 0.0
2016 10 17 04 00 0.0 0.0
2016 10 17 05 00 0.0 0.0
2016 10 17 06 00 0.0 0.0204
2016 10 17 07 00 0.0 0.9468
2016 10 17 08 00 0.0 2.0772000000000004
2016 10 17 09 00 0.0 4.236
2016 10 17 10 00 0.0 6.8267999999999995
2016 10 17 11 00 0.0 7.872000000000001
2016 10 17 12 00 0.0 9.7764
2016 10 17 13 00 0.0 8.6148
2016 10 17 14 00 0.0 6.978000000000001
2016 10 17 15 00 0.0 5.6652000000000005
2016 10 17 16 00 0.0 3.0948
2016 10 17 17 00 0.0 0.3972
2016 10 17 18 00 0.0 0.009600000000000001
2016 10 17 19 00 0.0 0.0
2016 10 17 20 00 0.0 0.0
2016 10 17 21 00 0.0 0.0
2016 10 17 22 00 0.0 0.0
2016 10 17 23 00 0.0 0.0
2016 10 18 00 00 0.0 0.0
2016 10 18 01 00 0.0 0.0
2016 10 18 02 00 0.0 0.0
2016 10 18 03 00 0.0 0.0
2016 10 18 04 00 0.0 0.0
2016 10 18 05 00 0.0 0.0
2016 10 18 06 00 0.0 0.016800000000000002
2016 10 18 07 00 0.0 0.7056
2016 10 18 08 00 0.0 2.6592000000000002
2016 10 18 09 00 0.0 4.8876
2016 10 18 10 00 0.0 6.8436
2016 10 18 11 00 0.0 8.106
2016 10 18 12 00 0.0 8.772
2016 10 18 13 00 0.0 8.5452
2016 10 18 14 00 0.0 7.38
2016 10 18 15 00 0.0 5.508000000000001
2016 10 18 16 00 0.0 3.144
2016 10 18 17 00 0.0 0.672
2016 10 18 18 00 0.0 0.0024000000000000002
2016 10 18 19 00 0.0 0.0
2016 10 18 20 00 0.0 0.0
2016 10 18 21 00 0.0 0.0
2016 10 18 22 00 0.0 0.0
2016 10 18 23 00 0.0 0.0
2016 10 19 00 00 0.0 0.0
2016 10 19 01 00 0.0 0.0
2016 10 19 02 00 0.0 0.0
2016 10 19 03 00 0.0 0.0
2016 10 19 04 00 0.0 0.0
2016 10 19 05 00 0.0 0.0
2016 10 19 06 00 0.0 0.009600000000000001
2016 10 19 07 00 0.0 0.3048
2016 10 19 08 00 0.0 2.0256000000000003
2016 10 19 09 00 0.0 4.9008
2016 10 19 10 00 0.0 6.7032
2016 10 19 11 00 0.0 8.2932
2016 10 19 12 00 0.0 7.596
2016 10 19 13 00 0.0 6.5784
2016 10 19 14 00 0.0 4.7292000000000005
2016 10 19 15 00 0.0 3.4032000000000004
2016 10 19 16 00 0.0 2.172
2016 10 19 17 00 0.0 0.5736000000000001
2016 10 19 18 00 0.0 0.0012000000000000001
2016 10 19 19 00 0.0 0.0
2016 10 19 20 00 0.0 0.0
2016 10 19 21 00 0.0 0.0
2016 10 19 22 00 0.0 0.0
2016 10 19 23 00 0.0 0.0
2016 10 20 00 00 0.0 0.0
2016 10 20 01 00 0.0 0.0
2016 10 20 02 00 0.0 0.0
2016 10 20 03 00 0.0 0.0
2016 10 20 04 00 0.0 0.0
2016 10 20 05 00 0.0 0.0
2016 10 20 06 00 0.0 0.008400000000000001
2016 10 20 07 00 0.0 0.3372
2016 10 20 08 00 0.0 0.87
2016 10 20 09 00 0.0 1.9692
2016 10 20 10 00 0.0 4.806000000000001
2016 10 20 11 00 0.0 5.9172
2016 10 20 12 00 0.0 4.7004
2016 10 20 13 00 0.0 5.2332
2016 10 20 14 00 0.0 4.3848
2016 10 20 15 00 0.0 6.4248
2016 10 20 16 00 0.0 2.9172000000000002
2016 10 20 17 00 0.0 0.6144000000000001
2016 10 20 18 00 0.0 0.0012000000000000001
2016 10 20 19 00 0.0 0.0
2016 10 20 20 00 0.0 0.0
2016 10 20 21 00 0.0 0.0
2016 10 20 22 00 0.0 0.0
2016 10 20 23 00 0.0 0.0
2016 10 21 00 00 0.0 0.0
2016 10 21 01 00 0.0 0.0
2016 10 21 02 00 0.0 0.0
2016 10 21 03 00 0.0 0.0
2016 10 21 04 00 0.0 0.0
2016 10 21 05 00 0.0 0.0
2016 10 21 06 00 0.0 0.0108
2016 10 21 07 00 0.0 0.5880000000000001
2016 10 21 08 00 0.0 2.2824000000000004
2016 10 21 09 00 0.0 4.128
2016 10 21 10 00 0.0 5.91
2016 10 21 11 00 0.0 7.4904
2016 10 21 12 00 0.0 8.269200000000001
2016 10 21 13 00 0.0 7.476
2016 10 21 14 00 0.0 7.1112
2016 10 21 15 00 0.0 4.9308000000000005
2016 10 21 16 00 0.0 3.4248
2016 10 21 17 00 0.0 0.7872000000000001
2016 10 21 18 00 0.0 0.0024000000000000002
2016 10 21 19 00 0.0 0.0
2016 10 21 20 00 0.0 0.0
2016 10 21 21 00 0.0 0.0
2016 10 21 22 00 0.0 0.0
2016 10 21 23 00 0.0 0.0
2016 10 22 00 00 0.0 0.0
2016 10 22 01 00 0.0 0.0
2016 10 22 02 00 0.0 0.0
2016 10 22 03 00 0.0 0.0
2016 10 22 04 00 0.0 0.0
2016 10 22 05 00 0.0 0.0
2016 10 22 06 00 0.0 0.012
2016 10 22 07 00 0.0 0.5856000000000001
2016 10 22 08 00 0.0 2.4672
2016 10 22 09 00 0.0 4.7724
2016 10 22 10 00 0.0 7.086
2016 10 22 11 00 0.0 8.6868
2016 10 22 12 00 0.0 9.39
2016 10 22 13 00 0.0 9.2904
2016 10 22 14 00 0.0 8.0304
2016 10 22 15 00 0.0 5.871600000000001
2016 10 22 16 00 0.0 3.2064
2016 10 22 17 00 0.0 0.5652
2016 10 22 18 00 0.0 0.0024000000000000002
2016 10 22 19 00 0.0 0.0
2016 10 22 20 00 0.0 0.0
2016 10 22 21 00 0.0 0.0
2016 10 22 22 00 0.0 0.0
2016 10 22 23 00 0.0 0.0
2016 10 23 00 00 0.0 0.0
2016 10 23 01 00 0.0 0.0
2016 10 23 02 00 0.0 0.0
2016 10 23 03 00 0.0 0.0
2016 10 23 04 00 0.0 0.0
2016 10 23 05 00 0.0 0.0
2016 10 23 06 00 0.0 0.0108
2016 10 23 07 00 0.0 0.6900000000000001
2016 10 23 08 00 0.0 2.6916
2016 10 23 09 00 0.0 4.7796
2016 10 23 10 00 0.0 6.7752
2016 10 23 11 00 0.0 7.77
2016 10 23 12 00 0.0 8.935200000000002
2016 10 23 13 00 0.0 8.336400000000001
2016 10 23 14 00 0.0 7.336800000000001
2016 10 23 15 00 0.0 5.3016000000000005
2016 10 23 16 00 0.0 2.4456
2016 10 23 17 00 0.0 0.5304000000000001
2016 10 23 18 00 0.0 0.0
2016 10 23 19 00 0.0 0.0
2016 10 23 20 00 0.0 0.0
2016 10 23 21 00 0.0 0.0
2016 10 23 22 00 0.0 0.0
2016 10 23 23 00 0.0 0.0
2016 10 24 00 00 0.0 0.0
2016 10 24 01 00 0.0 0.0
2016 10 24 02 00 0.0 0.0
2016 10 24 03 00 0.0 0.0
2016 10 24 04 00 0.0 0.0
2016 10 24 05 00 0.0 0.0
2016 10 24 06 00 0.0 0.009600000000000001
2016 10 24 07 00 0.0 0.5304000000000001
2016 10 24 08 00 0.0 2.0376000000000003
2016 10 24 09 00 0.0 4.0128
2016 10 24 10 00 0.0 5.8332
2016 10 24 11 00 0.0 7.027200000000001
2016 10 24 12 00 0.0 7.726800000000001
2016 10 24 13 00 0.0 7.0451999999999995
2016 10 24 14 00 0.0 6.3888
2016 10 24 15 00 0.0 4.752000000000001
2016 10 24 16 00 0.0 2.07
2016 10 24 17 00 0.0 0.2148
2016 10 24 18 00 0.0 0.0
2016 10 24 19 00 0.0 0.0
2016 10 24 20 00 0.0 0.0
2016 10 24 21 00 0.0 0.0
2016 10 24 22 00 0.0 0.0
2016 10 24 23 00 0.0 0.0
2016 10 25 00 00 0.0 0.0
2016 10 25 01 00 0.0 0.0
2016 10 25 02 00 0.0 0.0
2016 10 25 03 00 0.0 0.0
2016 10 25 04 00 0.0 0.0
2016 10 25 05 00 0.0 0.0
2016 10 25 06 00 0.0 0.0048000000000000004
2016 10 25 07 00 0.0 0.33240000000000003
2016 10 25 08 00 0.0 1.4412
2016 10 25 09 00 0.0 3.2088000000000005
2016 10 25 10 00 0.0 4.7424
2016 10 25 11 00 0.0 7.938
2016 10 25 12 00 0.0 8.353200000000001
2016 10 25 13 00 0.0 9.252
2016 10 25 14 00 0.0 7.567200000000001
2016 10 25 15 00 0.0 4.563600000000001
2016 10 25 16 00 0.0 1.2276
2016 10 25 17 00 0.0 0.108
2016 10 25 18 00 0.0 0.0
2016 10 25 19 00 0.0 0.0
2016 10 25 20 00 0.0 0.0
2016 10 25 21 00 0.0 0.0
2016 10 25 22 00 0.0 0.0
2016 10 25 23 00 0.0 0.0
2016 10 26 00 00 0.0 0.0
2016 10 26 01 00 0.0 0.0
2016 10 26 02 00 0.0 0.0
2016 10 26 03 00 0.0 0.0
2016 10 26 04 00 0.0 0.0
2016 10 26 05 00 0.0 0.0
2016 10 26 06 00 0.0 0.0036
2016 10 26 07 00 0.0 0.24000000000000002
2016 10 26 08 00 0.0 2.4336
2016 10 26 09 00 0.0 4.680000000000001
2016 10 26 10 00 0.0 6.6696
2016 10 26 11 00 0.0 8.1888
2016 10 26 12 00 0.0 8.965200000000001
2016 10 26 13 00 0.0 8.667600000000002
2016 10 26 14 00 0.0 7.456799999999999
2016 10 26 15 00 0.0 5.37
2016 10 26 16 00 0.0 2.8080000000000003
2016 10 26 17 00 0.0 0.4608
2016 10 26 18 00 0.0 0.0012000000000000001
2016 10 26 19 00 0.0 0.0
2016 10 26 20 00 0.0 0.0
2016 10 26 21 00 0.0 0.0
2016 10 26 22 00 0.0 0.0
2016 10 26 23 00 0.0 0.0
2016 10 27 00 00 0.0 0.0
2016 10 27 01 00 0.0 0.0
2016 10 27 02 00 0.0 0.0
2016 10 27 03 00 0.0 0.0
2016 10 27 04 00 0.0 0.0
2016 10 27 05 00 0.0 0.0
2016 10 27 06 00 0.0 0.006
2016 10 27 07 00 0.0 0.4716
2016 10 27 08 00 0.0 2.2632
2016 10 27 09 00 0.0 4.4604
2016 10 27 10 00 0.0 6.6888000000000005
2016 10 27 11 00 0.0 8.5176
2016 10 27 12 00 0.0 9.6264
2016 10 27 13 00 0.0 8.902800000000001
2016 10 27 14 00 0.0 7.8084
2016 10 27 15 00 0.0 5.599200000000001
2016 10 27 16 00 0.0 2.8524000000000003
2016 10 27 17 00 0.0 0.3972
2016 10 27 18 00 0.0 0.0012000000000000001
2016 10 27 19 00 0.0 0.0
2016 10 27 20 00 0.0 0.0
2016 10 27 21 00 0.0 0.0
2016 10 27 22 00 0.0 0.0
2016 10 27 23 00 0.0 0.0
2016 10 28 00 00 0.0 0.0
2016 10 28 01 00 0.0 0.0
2016 10 28 02 00 0.0 0.0
2016 10 28 03 00 0.0 0.0
2016 10 28 04 00 0.0 0.0
2016 10 28 05 00 0.0 0.0
2016 10 28 06 00 0.0 0.0024000000000000002
2016 10 28 07 00 0.0 0.4128
2016 10 28 08 00 0.0 1.6248
2016 10 28 09 00 0.0 3.4859999999999998
2016 10 28 10 00 0.0 5.895600000000001
2016 10 28 11 00 0.0 4.1364
2016 10 28 12 00 0.0 4.0476
2016 10 28 13 00 0.0 4.3824000000000005
2016 10 28 14 00 0.0 4.027200000000001
2016 10 28 15 00 0.0 3.1608000000000005
2016 10 28 16 00 0.0 1.0812000000000002
2016 10 28 17 00 0.0 0.1668
2016 10 28 18 00 0.0 0.0
2016 10 28 19 00 0.0 0.0
2016 10 28 20 00 0.0 0.0
2016 10 28 21 00 0.0 0.0
2016 10 28 22 00 0.0 0.0
2016 10 28 23 00 0.0 0.0
2016 10 29 00 00 0.0 0.0
2016 10 29 01 00 0.0 0.0
2016 10 29 02 00 0.0 0.0
2016 10 29 03 00 0.0 0.0
2016 10 29 04 00 0.0 0.0
2016 10 29 05 00 0.0 0.0
2016 10 29 06 00 0.0 0.0024000000000000002
2016 10 29 07 00 0.0 0.42840000000000006
2016 10 29 08 00 0.0 2.5116000000000005
2016 10 29 09 00 0.0 5.1168000000000005
2016 10 29 10 00 0.0 6.252000000000001
2016 10 29 11 00 0.0 7.9572
